oId;oLon;oLat;oX;oY;dId;dLon;dLat;dX;dY;Weight
7496;30.732607;-29.826494;647827;-3263034;12035;31.008946;-29.897612;673989;-3272276;4
10959;30.980943;-29.901152;671278;-3272532;11034;30.968529;-29.892677;670133;-3271529;2
7436;30.999499;-29.80678;673599;-3262133;7438;31.000675;-29.804002;673728;-3261830;2
12114;31.040626;-29.888209;677086;-3271388;11117;30.871264;-29.863259;660952;-3267785;5
7411;30.990789;-29.783051;672896;-3259453;11551;30.834508;-29.824843;657634;-3263337;2
15977;30.928538;-29.993305;665723;-3282517;2;31.221539;-29.440814;697101;-3222560;4
15977;30.928538;-29.993305;665723;-3282517;1;31.282305;-29.407054;703161;-3219117;4
7593;30.809324;-29.7902;655405;-3259365;11063;30.903015;-29.892543;663839;-3271194;3
9091;31.904572;-28.777884;767236;-3152485;7722;30.992497;-29.718087;673431;-3252239;2
505;31.284578;-29.406442;703384;-3219061;10942;30.988674;-29.884977;672113;-3270772;12
7430;30.994822;-29.811615;673121;-3262648;11352;31.000447;-29.816036;673637;-3263167;2
11569;30.833038;-29.825985;657486;-3263457;12041;31.015743;-29.898515;674636;-3272410;2
11405;31.025811;-29.85699;675841;-3267844;11023;31.000876;-29.859969;673428;-3268052;2
7726;30.984431;-29.697434;672772;-3249904;8000;30.936153;-29.698752;668118;-3249813;2
12150;30.955844;-29.94075;668642;-3276810;15969;30.935633;-29.994501;666397;-3282684;2
11405;31.025811;-29.85699;675841;-3267844;11028;30.996698;-29.868226;672979;-3268950;2
7496;30.732607;-29.826494;647827;-3263034;12013;31.015307;-29.883214;674682;-3270707;3
7411;30.990789;-29.783051;672896;-3259453;11539;30.865707;-29.820636;660657;-3263020;2
15966;30.932185;-29.985454;666118;-3281662;16011;30.933325;-29.985683;666226;-3281693;6
11391;30.976188;-29.805254;671366;-3261849;11541;30.851344;-29.817989;659291;-3262657;4
9155;31.915004;-28.81525;768006;-3156701;15977;30.928538;-29.993305;665723;-3282517;3
11569;30.833038;-29.825985;657486;-3263457;12075;30.977816;-29.909192;670932;-3273410;2
15638;30.871447;-30.053772;659904;-3288960;10942;30.988674;-29.884977;672113;-3270772;2
11055;30.878153;-29.865539;661602;-3268072;9799;28.085741;-26.23238;405226;-2852418;3
10986;31.002499;-29.863791;673562;-3268485;15977;30.928538;-29.993305;665723;-3282517;5
9156;31.914696;-28.814611;767980;-3156628;15977;30.928538;-29.993305;665723;-3282517;7
7764;31.003225;-29.720298;674450;-3252538;11980;31.011143;-29.902895;674169;-3272874;4
11629;30.817013;-29.81871;655986;-3262571;11469;31.034208;-29.864365;676606;-3268706;6
7799;30.605057;-29.735741;636052;-3252345;11629;30.817013;-29.81871;655986;-3262571;3
7451;30.999183;-29.774554;673752;-3258550;11117;30.871264;-29.863259;660952;-3267785;2
9157;31.914615;-28.815337;767967;-3156708;15977;30.928538;-29.993305;665723;-3282517;6
