oId;oLon;oLat;oX;oY;dId;dLon;dLat;dX;dY;Weight
15655;30.881367;-30.056443;660841;-3289304;15641;30.85697;-30.095387;658282;-3293514;4
10957;30.981185;-29.895331;671334;-3271886;11030;30.968151;-29.862259;670270;-3268146;12
7312;30.877265;-29.80285;661868;-3261099;7323;30.873325;-29.802351;661492;-3261024;2
12013;31.015307;-29.883214;674682;-3270707;12105;30.972253;-29.933339;670260;-3276066;2
7405;30.990325;-29.805165;672726;-3261909;7760;31.025368;-29.676611;676831;-3247791;2
15977;30.928538;-29.993305;665723;-3282517;5;31.281802;-29.406901;703114;-3219097;4
7315;30.929465;-29.801341;666896;-3261185;7330;30.873742;-29.801683;661535;-3260952;2
12144;30.982885;-29.929858;671301;-3275732;12161;30.982291;-29.930886;671238;-3275843;2
12021;30.997688;-29.913116;672819;-3273944;12061;30.983837;-29.907186;671522;-3273217;2
11957;31.040631;-29.886691;677095;-3271219;14372;30.428628;-30.749157;613771;-3364136;2
12142;30.979511;-29.934713;670950;-3276255;12180;30.978957;-29.911656;671027;-3273689;2
7438;31.000675;-29.804002;673728;-3261830;7436;30.999499;-29.80678;673599;-3262133;9
7559;30.998623;-29.74676;673857;-3255457;7557;30.973253;-29.749134;671403;-3255596;2
11649;30.868233;-29.809916;660960;-3261841;7336;30.873276;-29.80988;661445;-3261861;7
7405;30.990325;-29.805165;672726;-3261909;7765;31.019326;-29.704014;676093;-3250807;2
15653;30.864399;-30.086996;659042;-3292617;15646;30.86472;-30.084705;659085;-3292364;4
15653;30.864399;-30.086996;659042;-3292617;15642;30.869914;-30.065716;659690;-3290279;2
15653;30.864399;-30.086996;659042;-3292617;15641;30.85697;-30.095387;658282;-3293514;7
11056;30.911745;-29.875254;664775;-3269315;11063;30.903015;-29.892543;663839;-3271194;10
15652;30.831061;-30.06465;655968;-3289974;15654;30.849984;-30.053045;657848;-3288775;3
11028;30.996698;-29.868226;672979;-3268950;11339;31.007009;-29.853215;674056;-3267332;39
7436;30.999499;-29.80678;673599;-3262133;7447;30.989334;-29.809081;672608;-3262339;4
7557;30.973253;-29.749134;671403;-3255596;7567;31.002711;-29.737043;674305;-3254397;2
7557;30.973253;-29.749134;671403;-3255596;7569;30.972715;-29.74861;671354;-3255535;2
12024;31.027903;-29.883742;675889;-3270828;12028;31.003335;-29.896258;673457;-3272098;3
12151;30.977775;-29.920243;670865;-3274638;12087;30.97767;-29.921779;670846;-3274808;5
11971;31.002039;-29.891507;673360;-3271564;11956;30.976537;-29.915076;670776;-3274058;2
7556;30.970748;-29.750964;671151;-3255787;7572;30.970451;-29.750757;671124;-3255763;4
7557;30.973253;-29.749134;671403;-3255596;7562;30.975086;-29.790115;671346;-3260161;4
8160;29.781905;-28.922525;560668;-3158263;16046;30.936984;-29.992223;666540;-3282438;2
7316;30.887169;-29.805194;662807;-3261408;7310;30.888673;-29.801481;662972;-3261002;11
